iter	RMSE
0	229605.4733
1	228558.3999
2	226613.0687
3	225309.9507
4	223345.7712
5	221730.4526
6	219980.4822
7	218034.3115
8	216189.7262
9	214467.4142
10	212646.109
11	210679.9432
12	208570.3533
13	206661.8368
14	205403.5789
15	203687.395
16	201694.596
17	200178.2344
18	198909.5084
19	196962.0612
20	195348.2763
21	194151.7565
22	192544.8949
23	191114.1183
24	189796.6767
25	188101.6042
26	186915.0949
27	185477.2531
28	183896.9585
29	182755.7983
30	181810.8624
31	180470.8265
32	179334.0523
33	177769.3146
34	176279.8218
35	174828.9498
36	173244.7574
37	172436.7624
38	171214.1539
39	169749.7215
40	168562.9583
41	167619.6738
42	166557.6629
43	165295.5828
44	164081.4211
45	163384.893
46	162196.7087
47	161066.5369
48	160241.1103
49	159414.2996
50	158332.3116
51	157256.828
52	156238.3658
53	155117.8581
54	154489.7622
55	153781.9313
56	152880.749
57	151713.8255
58	150700.5649
59	149774.0698
60	149036.2517
61	148062.9073
62	146956.6959
63	146198.5199
64	145655.4173
65	144543.2204
66	143752.0991
67	142769.3634
68	142208.9482
69	141298.6756
70	140463.8807
71	139661.579
72	138676.9701
73	137719.5198
74	136757.4609
75	135903.3769
76	135230.4705
77	134302.6655
78	133249.0405
79	132294.1649
80	131537.0285
81	130610.3895
82	129991.1871
83	129122.8459
84	128351.431
85	127265.6649
86	126766.6083
87	125993.962
88	125573.3632
89	124731.332
90	123917.4829
91	123141.6364
92	122679.2451
93	121661.4459
94	120970.6365
95	120219.2773
96	119404.7744
97	118648.7893
98	117836.0375
99	117411.6446
100	116763.0771
101	116001.7403
102	115301.4649
103	114905.3496
104	114187.2355
105	113636.2601
106	113080.9086
107	112711.3978
108	112054.9293
109	111240.2845
110	110559.0199
111	110215.813
112	109538.2721
113	108971.7332
114	108323.9
115	107661.2354
116	107254.5278
117	106908.3366
118	106149.9368
119	105773.6869
120	104947.4096
121	104485.8914
122	103910.6463
123	103332.3846
124	102699.8045
125	102097.6263
126	101486.639
127	100944.8806
128	100393.0067
129	99809.01237
130	99564.90018
131	98897.86918
132	98105.61115
133	97657.78469
134	97210.46419
135	96554.35976
136	96024.2695
137	95334.26204
138	94869.91007
139	94034.69909
140	93344.17052
141	93064.41864
142	92724.15748
143	92143.58382
144	91425.6717
145	90930.16965
146	90397.10717
147	89708.42715
148	89206.43674
149	88860.11028
150	88289.83947
151	87729.87121
152	87328.42748
153	86629.99764
154	86178.04364
155	85664.86373
156	85449.06028
157	84678.62589
158	84148.57815
159	83848.25772
160	83356.78283
161	82867.87419
162	82611.0682
163	82283.23592
164	81947.6624
165	81675.40927
166	81192.30377
167	80707.29209
168	80448.32248
169	79957.50884
170	79528.56013
171	79073.69153
172	78824.741
173	78417.53141
174	78016.10941
175	77754.29758
176	77135.81308
177	76622.90299
178	76101.30091
179	75730.52882
180	75324.89748
181	74911.25966
182	74532.59375
183	74027.85554
184	73594.99028
185	73227.56716
186	72934.72585
187	72650.2759
188	72224.62623
189	71913.95806
