iter	Passed	Remaining
0	2	2221
1	4	2292
2	6	2017
3	7	1925
4	9	1972
5	11	1858
6	12	1814
7	14	1832
8	16	1780
9	17	1765
10	19	1740
11	20	1717
12	22	1678
13	26	1846
14	27	1780
15	28	1777
16	30	1756
17	31	1719
18	32	1684
19	33	1631
20	34	1611
21	36	1610
22	39	1680
23	41	1672
24	42	1675
25	46	1732
26	47	1708
27	48	1685
28	49	1672
29	51	1654
30	53	1663
31	57	1725
32	58	1715
33	60	1705
34	61	1698
35	63	1699
36	65	1693
37	67	1712
38	70	1728
39	71	1707
40	72	1705
41	74	1700
42	75	1684
43	76	1667
44	80	1705
45	85	1783
46	87	1772
47	88	1764
48	90	1754
49	91	1737
50	93	1735
51	94	1724
52	100	1796
53	102	1789
54	103	1774
55	104	1763
56	105	1750
57	107	1745
58	109	1752
59	111	1746
60	113	1745
61	114	1732
62	116	1730
63	116	1709
64	117	1691
65	119	1688
66	120	1682
67	121	1669
68	123	1665
69	129	1715
70	130	1711
71	132	1712
72	134	1706
73	136	1702
74	139	1714
75	140	1709
76	142	1706
77	143	1699
78	144	1688
79	146	1680
80	147	1669
81	148	1657
82	148	1643
83	149	1631
84	150	1624
85	153	1627
86	154	1616
87	156	1620
88	157	1607
89	158	1601
90	159	1593
91	160	1582
92	160	1570
93	161	1561
94	163	1557
95	169	1592
96	170	1583
97	171	1576
98	172	1568
99	173	1559
100	176	1569
101	176	1558
102	177	1548
103	178	1535
104	178	1523
105	181	1530
106	182	1525
107	184	1527
108	185	1520
109	187	1514
110	188	1508
111	189	1499
112	190	1492
113	191	1490
114	193	1485
115	196	1496
116	197	1491
117	199	1489
118	201	1490
119	203	1492
120	205	1490
121	210	1517
122	212	1515
123	213	1509
124	215	1510
125	217	1507
126	218	1500
127	219	1494
128	221	1495
129	224	1503
130	225	1497
131	227	1496
132	230	1503
133	232	1500
134	233134	26135	236	1502
136	238	1503
137	240137	27138	243138	27139	245139	27140	248	1516
141	256	1547
142	257	1545
143	259	1542
144	262	1548
145	263	1541
146	264	1536
147	267	1538
148	268	1534
149	269	1529
150	270	1523
151	271	1516
152	272	1506
153	273	1501
